16	3	8.4505e+10	-2.2583e+07	72963	-0.77571	0.99955	76
17	3	8.6535e+10	-1.1467e+07	67186	-0.446	0.99983	77
18	3	1.0658e+11	-5.0217e+07	86086	-0.65791	0.99974	78
19	3	7.6874e+10	1.0936e+07	55692	-0.71123	0.99972	79
20	3	8.0767e+10	2.5364e+07	47360	-0.30685	0.99969	80
21	3	1.0046e+11	-6.0965e+06	43015	-0.82026	0.9998	81
22	3	8.1574e+10	5.4151e+06	42282	-0.73382	0.99987	82
23	3	6.0046e+10	5.3364e+07	14257	-0.40489	0.99929	83
24	3	5.6528e+10	6.7591e+07	-1653.2	-0.137	0.99911	84
25	3	1.0088e+11	1.3332e+07	8581.2	-0.18332	0.99958	85
26	3	1.4238e+11	-1.2398e+07	-9715.7	0.39161	0.99794	86
27	3	1.2728e+11	8.4405e+06	-11686	0.45463	0.99831	87
28	3	8.7868e+10	5.3035e+07	-10191	0.31888	0.99904	88
29	3	8.6512e+10	5.2951e+07	1763.9	-0.11333	0.99911	89
30	3	1.2309e+11	6.8699e+06	21448	-0.31193	0.99981	90
1	4	1.1686e+11	-2.49e+07	50391	-0.31078	0.99975	91
2	4	8.9948e+10	2.8345e+05	46989	-0.46135	0.99947	92
3	4	1.3964e+11	-7.3544e+07	68558	-1.1853	0.99848	93
4	4	1.4384e+11	-8.7823e+07	62449	-1.3592	0.99944	94
5	4	1.2737e+11	-3.653e+07	29469	-0.52356	0.99855	95
6	4	9.3718e+10	-4.7301e+05	23031	-0.38889	0.99922	96
7	4	1.3573e+11	-8.696e+07	67552	-1.8369	0.99958	97
8	4	1.486e+11	-1.1117e+08	84086	-1.6396	0.99928	98
9	4	1.4268e+11	-1.0336e+08	84198	-1.0884	0.99937	99
10	4	8.326e+10	-2.6432e+06	67450	-0.58894	0.99965	100
11	4	1.15e+11	-4.6425e+07	58448	-0.68445	0.99934	101
12	4	1.1913e+11	-6.8578e+07	67136	-0.76537	0.9995	102
13	4	1.0474e+11	-3.6341e+07	41197	-0.56955	0.99978	103
14	4	1.4302e+11	-1.1275e+08	82000	-1.7804	0.99937	104
15	4	1.3827e+11	-1.1163e+08	84934	-1.4442	0.99863	105
16	4	8.6217e+10	-7.9313e+06	36507	-0.48177	0.99966	106
17	4	9.284e+10	-4.0302e+06	32913	-0.097904	0.99968	107
18	4	1.0181e+11	-3.5302e+07	57759	-0.40045	0.99976	108
19	4	9.861e+10	-4.5257e+07	73202	-0.63518	0.99947	109
20	4	1.0839e+11	-4.5406e+07	73135	-0.56199	0.99956	110
21	4	9.3678e+10	-1.1406e+07	45043	-0.67755	0.99957	111
22	4	6.8297e+10	2.4289e+07	27713	-0.34928	0.99985	112
23	4	5.4e+10	5.6296e+07	8167.2	-0.21108	0.99905	113
24	4	7.6228e+10	1.6677e+07	20841	-0.44049	0.99932	114
25	4	8.4804e+10	2.3606e+07	4942.7	-0.054674	0.9997	115
26	4	1.2083e+11	-1.8145e+07	8423.3	-0.073568	0.99969	116
27	4	1.5083e+11	-7.8982e+07	43852	-0.6583	0.99994	117
28	4	7.4785e+10	5.1698e+07	-5428	0.055653	0.99941	118
29	4	1.0398e+11	9.5117e+06	17606	-0.51754	0.99922	119
30	4	9.112e+10	6.8505e+07	-21212	0.48972	0.99902	120
1	5	1.0994e+11	-8.4894e+06	29865	0.0099495	0.99918	121
2	5	8.8616e+10	1.0687e+07	29280	-0.2732	0.99947	122
3	5	1.2935e+11	-7.4419e+07	70784	-1.3908	0.99908	123
4	5	1.1615e+11	-5.755e+07	53616	-1.4722	0.9995	124
5	5	1.21e+11	-6.151e+07	54508	-0.96669	0.99888	125
6	5	1.0625e+11	-4.9975e+07	54919	-1.247	0.99946	126
7	5	1.5014e+11	-1.3271e+08	91377	-2.371	0.99915	127
8	5	1.4794e+11	-1.1833e+08	82851	-1.1672	0.99929	128
